Year,State_name,District_name,State_code,District_code,villages_surveyed,tot_pop,pop_male,pop_female,tot_hh,MAP_KEY,Banking,Education,Health,Infrastructure,MEGA
2019,DAMAN AND DIU,DIU,25,464,4,28812,13656,15156,7320,DIU,,,,,
2019,TAMIL NADU,THE NILGIRIS,33,587,48,367644,179544,188100,109612,NILGIRIS,0.38,0.44,0.62,0.33,0.4425
2019,KERALA,THIRUVANANTHAPURAM,32,565,104,2172538,1033358,1139180,566177,THIRUVANANTHAPURAM,0.38,0.11,0.5,0.38,0.3425
2019,PUDUCHERRY,KARAIKAL,34,598,32,124339,61303,63036,31268,KARAIKAL,0.38,0.56,0.88,0.43,0.5625
2019,KERALA,ERNAKULAM,32,555,120,2135998,1055818,1080180,535391,ERNAKULAM,0.38,0.11,0.62,0.33,0.36
2019,KERALA,ALAPPUZHA,32,554,99,1757630,843932,913698,450381,ALAPPUZHA,0.38,0.11,0.75,0.38,0.405
2019,TAMIL NADU,KANNIYAKUMARI,33,575,128,825615,412873,412742,273030,KANYAKUMARI,0.25,0.44,0.75,0.33,0.4425
2019,KERALA,KOLLAM,32,559,110,2080129,981882,1098247,535783,KOLLAM,0.38,0.22,0.62,0.38,0.4
2019,TAMIL NADU,KARUR,33,576,176,717967,361163,356804,214881,KARUR,0.25,0.44,0.75,0.33,0.4425
2019,KERALA,MALAPPURAM,32,562,123,3393467,1622539,1770928,675915,MALAPPURAM,0.38,0.11,0.75,0.43,0.4175
2019,KERALA,PALAKKAD,32,563,151,2475164,1198565,1276599,561911,PALAKKAD,0.38,0.33,0.75,0.43,0.4725
2019,TAMIL NADU,THENI,33,588,155,632376,319012,313364,219690,THENI,0.25,0.33,0.75,0.38,0.4275
2019,TAMIL NADU,PERAMBALUR,33,581,169,590372,296433,293939,193222,PERAMBALUR,0.38,0.44,0.75,0.24,0.4525
2019,KERALA,KOTTAYAM,32,560,123,1685499,826142,859357,425529,KOTTAYAM,0.38,0.11,0.75,0.38,0.405
2019,KERALA,WAYANAD,32,567,52,692449,340478,351971,161148,WAYANAD,0.38,0.33,0.62,0.38,0.4275
2019,TAMIL NADU,COIMBATORE,33,569,241,1173801,587856,585945,393211,COIMBATORE,0.25,0.56,0.75,0.33,0.4725
2019,KERALA,PATHANAMTHITTA,32,564,75,1036867,486406,550461,321476,PATHANAMTHITTA,0.38,0.22,0.75,0.43,0.445
2019,KERALA,KOZHIKODE,32,561,100,2101475,1000939,1100536,486987,KOZHIKODE,0.38,0.11,0.75,0.43,0.4175
2019,KARNATAKA,UDUPI,29,549,252,1000807,480124,520683,250556,UDUPI,0.38,0.33,0.62,0.43,0.44
2019,MANIPUR,KAKCHING,14,711,55,150172,73803,76369,34355,KAKCHING,0.5,0.67,1,0.52,0.6725
2019,GOA,NORTH GOA,30,551,215,577300,294977,282323,163151,NORTH GOA,0.38,0.44,0.75,0.52,0.5225
2019,DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI,26,465,70,291036,157886,133150,67379,DADRA AND NAGAR HAVELI AND DAMAN AND DIU,,,,,
2019,GUJARAT,ANAND,24,440,362,1622026,849146,772880,392436,ANAND,0.38,0.33,0.62,0.33,0.415
2019,KERALA,KANNUR,32,557,109,1865566,876000,989566,415274,KANNUR,0.38,0.22,0.75,0.38,0.4325
2019,KERALA,IDUKKI,32,556,91,1010835,504481,506354,260505,IDUKKI,0.38,0.33,0.75,0.43,0.4725
2019,PUDUCHERRY,PONDICHERRY,34,600,97,407209,199255,207954,100481,PUDUCHERRY,0.38,0.33,0.75,0.48,0.485
2019,TELANGANA,WARANGAL URBAN,36,686,133,291564,143755,147809,81742,WARANGAL (URBAN),0.5,0.67,0.88,0.48,0.6325
2019,DAMAN AND DIU,DAMAN,25,463,28,159580,101192,58388,19098,DAMAN,,,,,
2019,GUJARAT,BOTAD,24,676,191,494255,254182,240073,99923,BOTAD,0.38,0.67,0.62,0.24,0.4775
2019,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,35,602,72,107668,55689,51979,25856,SOUTH ANDAMAN,0.62,0.56,0.88,0.48,0.635
2019,TAMIL NADU,DINDIGUL,33,572,389,1710124,857420,852704,537948,DINDIGUL,0.25,0.56,0.75,0.33,0.4725
2019,KERALA,KASARAGOD,32,558,124,1142536,550275,592261,239570,KASARAGOD,0.38,0.33,0.62,0.48,0.4525
2019,GUJARAT,PORBANDAR,24,456,143,297023,153808,143215,64428,PORBANDAR,0.5,0.56,0.75,0.33,0.535
2019,TELANGANA,MEDCHAL MALKAJGIRI,36,700,102,206221,106033,100188,53660,MEDCHAL,0.5,0.67,0.88,0.43,0.62
2019,TAMIL NADU,NAMAKKAL,33,580,422,1145511,579065,566446,359105,NAMAKKAL,0.38,0.67,0.88,0.33,0.565
2019,MIZORAM,KOLASIB,15,263,52,97223,48292,48931,20526,KOLASIB,0.5,0.44,0.88,0.52,0.585
2019,GUJARAT,SURAT,24,459,720,1507195,795851,711344,420250,SURAT,0.25,0.67,0.62,0.29,0.4575
2019,TAMIL NADU,Ariyalur,33,610,248,815003,409612,405391,254696,ARIYALUR,0.38,0.33,0.88,0.33,0.48
2019,HARYANA,CHARKI DADRI,6,701,181,585308,318293,267015,111151,CHARKHI DADRI,0.62,0.56,0.88,0.52,0.645
2019,TAMIL NADU,ERODE,33,573,319,1292507,655642,636865,525581,ERODE,0.38,0.56,0.75,0.33,0.505
2019,MIZORAM,SERCHHIP,15,268,52,81972,40601,41371,15547,SERCHHIP,0.5,0.44,0.88,0.67,0.6225
2019,BIHAR,KHAGARIA,10,202,309,2126460,1149572,976888,425947,KHAGARIA,0.38,0.67,1,0.57,0.655
2019,GUJARAT,DEVBHUMI DWARKA,24,674,248,549790,283762,266028,108992,DEVBHOOMI DWARKA,0.5,0.56,0.62,0.29,0.4925
2019,SIKKIM,NORTH DISTRICT,11,226,65,44977,24606,20371,9688,NORTH GOA,0.62,0.56,0.88,0.57,0.6575
2019,GUJARAT,NAVSARI,24,453,407,1100136,556590,543546,307040,NAVSARI,0.38,0.56,0.62,0.29,0.4625
2019,GUJARAT,SABAR KANTHA,24,458,719,1307457,675931,631526,319026,SABARKANTHA,0.25,0.56,0.75,0.33,0.4725
2019,GUJARAT,GIR SOMNATH,24,675,342,891580,454172,437408,160321,GIR SOMNATH,0.62,0.67,0.75,0.29,0.5825
2019,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,35,603,7,7053,3633,3420,1893,NICOBAR,0.75,0.33,0.88,0.57,0.6325
2019,UTTAR PRADESH,GAUTAM BUDDHA NAGAR,9,144,106,268862,145394,123468,45070,GAUTAM BUDDH NAGAR,0.75,0.78,1,0.57,0.775
2019,SIKKIM,EAST DISTRICT,11,225,121,164232,84283,79949,35365,,0.75,0.67,0.88,0.67,0.7425
2019,PUNJAB,MANSA,3,37,249,619237,328785,290452,119846,MANSA,0.5,0.56,0.75,0.57,0.595
2019,TAMIL NADU,TIRUNELVELI,33,592,531,2154466,1058984,1095482,673781,TIRUNELVELI,0.38,0.56,0.88,0.33,0.5375
2019,GUJARAT,PATAN,24,455,524,1098363,569160,529203,256891,PATAN,0.5,0.56,0.62,0.24,0.48
2019,TAMIL NADU,TIRUPPUR,33,634,297,1246752,624137,622615,423581,TIRUPUR,0.38,0.67,0.75,0.33,0.5325
2019,PUNJAB,BARNALA,3,605,205,493765,267915,225850,93876,BARNALA,0.62,0.67,0.88,0.57,0.685
2019,MAHARASHTRA,KOLHAPUR,27,480,1219,2859001,1469783,1389218,675539,KOLHAPUR,0.5,0.56,1,0.43,0.6225
2019,GUJARAT,MORBI,24,673,365,710186,366704,343482,157417,MORBI,0.38,0.56,0.62,0.24,0.45
2019,GUJARAT,RAJKOT,24,457,605,1329715,692819,636896,288506,RAJKOT,0.5,0.56,0.62,0.33,0.5025
2019,WEST BENGAL,Alipurduar,19,664,353,1639470,844647,794823,360123,ALIPURDUAR,0.5,0.56,0.88,0.62,0.64
2019,HARYANA,FARIDABAD,6,60,154,526208,278849,247359,101512,FARIDABAD,0.5,0.67,0.88,0.48,0.6325
2019,GUJARAT,BHARUCH,24,442,628,1182695,613680,569015,309744,BHARUCH,0.5,0.56,0.75,0.33,0.535
2019,GUJARAT,JAMNAGAR,24,447,426,730344,376388,353956,152913,JAMNAGAR,0.5,0.67,0.62,0.33,0.53
2019,SIKKIM,SOUTH DISTRICT,11,227,144,131683,68099,63584,28633,SOUTH SALMARA-MANKACHAR,0.62,0.44,1,0.57,0.6575
2019,MIZORAM,SAITUAL,15,727,42,60347,30246,30101,11846,SAITUAL,,,,,
2019,MIZORAM,KHAWZAWL,15,728,36,43623,21781,21842,8731,KHAWZAWL,,,,,
2019,GUJARAT,DOHAD,24,445,731,2377984,1208771,1169213,456694,DAHOD,0.25,0.33,0.75,0.33,0.415
2019,BIHAR,ARWAL,10,611,311,707578,372479,335099,128538,ARWAL,0.75,0.78,1,0.71,0.81
2019,SIKKIM,WEST DISTRICT,11,228,126,140350,72175,68175,31935,SOUTH WEST GARO HILLS,0.62,0.44,0.88,0.62,0.64
2019,HARYANA,FATEHABAD,6,61,335,890926,472340,418586,172568,FATEHABAD,0.5,0.44,0.88,0.48,0.575
2019,GUJARAT,NARMADA,24,452,550,549191,281035,268156,147648,NARMADA,0.5,0.78,0.88,0.33,0.6225
2019,GUJARAT,PANCH MAHALS,24,454,631,1462629,753749,708880,338602,PANCHMAHAL,0.25,0.33,0.88,0.24,0.425
2019,UTTARAKHAND,RUDRA PRAYAG,5,54,659,246623,118923,127700,55399,RUDRAPRAYAG,0.75,0.78,1,0.57,0.775
2019,KERALA,THRISSUR,32,566,215,2403764,1140451,1263313,588466,THRISSUR,0.38,0.33,0.62,0.43,0.44
2019,TAMIL NADU,TIRUCHIRAPPALLI,33,591,517,1598581,793856,804725,531048,TIRUCHIRAPPALLI,0.38,0.56,0.88,0.38,0.55
2019,MIZORAM,Hnahthial,15,726,29,33709,16079,17630,6767,HNAHTHIAL,,,,,
2019,MIZORAM,SAIHA,15,267,92,74454,36437,38017,15720,SAIHA,0.75,0.56,0.88,0.67,0.715
2019,HARYANA,ROHTAK,6,73,143,655319,353054,302265,126825,ROHTAK,0.5,0.56,0.88,0.57,0.6275
2019,TAMIL NADU,DHARMAPURI,33,571,511,1457490,748901,708589,437429,DHARMAPURI,0.5,0.44,1,0.29,0.5575
2019,MANIPUR,BISHNUPUR,14,252,91,198629,97636,100993,49485,BISHNUPUR,0.75,0.78,1,0.57,0.775
2019,MANIPUR,JIRIBAM,14,713,76,50857,26497,24360,9048,JIRIBAM,0.75,0.89,1,0.67,0.8275
2019,UTTAR PRADESH,GHAZIABAD,9,145,196,816946,440105,376841,134743,GHAZIABAD,0.75,0.67,0.88,0.62,0.73
2019,TAMIL NADU,KRISHNAGIRI,33,577,718,1984371,1018939,965432,525577,KRISHNAGIRI,0.5,0.56,1,0.38,0.61
2019,GUJARAT,TAPI,24,641,387,602723,301951,300772,149301,TAPI,0.5,0.67,0.75,0.33,0.5625
2019,MIZORAM,LUNGLEI,15,265,130,149533,74763,74770,30936,LUNGLEI,0.62,0.44,0.88,0.62,0.64
2019,TAMIL NADU,MADURAI,33,578,638,1603234,804743,798491,556005,MADURAI,0.5,0.67,1,0.38,0.6375
2019,TELANGANA,RAJANNA SIRCILLA,36,683,263,424962,211284,213678,126255,RAJANNA SIRCILLA,0.5,0.67,1,0.52,0.6725
2019,RAJASTHAN,SIROHI,8,115,502,1015674,530862,484812,215663,SIROHI,0.75,0.67,1,0.52,0.735
2019,NAGALAND,MOKOKCHUNG,13,246,85,161258,82297,78961,34901,MOKOKCHUNG,0.62,0.56,0.88,0.67,0.6825
2019,MANIPUR,IMPHAL WEST,14,256,150,304390,150128,154262,68118,IMPHAL WEST,0.75,0.56,1,0.62,0.7325
2019,MANIPUR,THOUBAL,14,259,92,218760,105720,113040,46362,THOUBAL,0.75,0.67,1,0.62,0.76
2019,TELANGANA,SURYAPET,36,696,502,860952,432543,428409,246152,SURYAPET,0.62,0.67,0.88,0.48,0.6625
2019,MAHARASHTRA,SANGLI,27,493,726,2079137,1080727,998410,469135,SANGLI,0.38,0.56,1,0.33,0.5675
2019,GUJARAT,Mahisagar,24,669,723,1046429,542190,504239,244143,MAHISAGAR,0.5,0.33,0.62,0.29,0.435
